"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahamas, The","BHS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13895.4735592249","14632.2637547002","15364.1072491338","16147.539016177","16993.8132245417","17913.8935129113","18696.4130346827","19652.664116133","20499.3898405667","21576.0224051116","19743.2903950452","19544.0618902346","18438.8696179374","19435.4562131575","15863.5638605894","13244.5717259706","13641.004018421","14571.8790685356","16274.6465171963","20078.4580129694","20912.7555627732","18565.9554463542","19370.893838904","19629.9391033896","21941.3062468978","22543.0042810344","22521.6355974645","22787.6567932101","22919.7983785394","24046.9505640449","23248.8936715994","21868.8772986471","20635.6985113897","20315.1782744707","20595.6313807486","21170.9531347603","21782.0991621408","21984.9465790558","22776.6096750456","24111.8577544435","24748.3079735458","24958.6549679116","25134.3811263706","24298.6237850202","23997.8477712196","24305.990666923","24429.4457482206","24312.400634406","23314.994167221","21951.1466446952","21921.5590634977","21710.5899917159","22050.2021461459","21622.8655854331","21078.6804680605","20184.7356938325","19991.092229426","",
"Bosnia and Herzegovina","BIH","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","698.56429427465","866.940672136616","1665.5953656484","2255.05736934854","2608.19884143362","2852.02104121862","3002.82084105655","3131.1394017013","3293.14024872433","3421.74843067042","3628.51643997036","3946.05667880525","4160.56310253483","4405.28505871939","4664.09180327094","4545.22766596344","4614.8290411405","4700.88783699632","4714.11540571216","4882.75700586414","4992.90537999347","5190.09875812558","5377.83721224245","",
"Belarus","BLR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3102.46277600103","3063.72977300968","2763.64739826199","2547.87398790412","2252.41253505173","2024.69482093138","2088.35154492373","2336.31155380518","2544.63471695903","2642.24242039819","2808.69399564789","2956.5406182076","3125.5389116145","3369.17210775321","3780.63623184238","4164.36194901709","4608.93224089946","5028.31988296768","5560.38190408405","5583.93852426094","6029.3967998293","6375.34503859546","6491.67338247292","6557.10657206217","6664.09724918665","6398.68973515141","6217.71716578702","",
"Belize","BLZ","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1072.46634260442","1093.58687436345","1115.51260836849","1138.30724581886","1161.53392771519","1183.7738043707","1203.63677603739","1225.29045481547","1277.37249090434","1306.57540231887","1336.65355452179","1360.50392236172","1471.72742289853","1524.78188362483","1704.99670096739","1740.36879321917","1715.48494222329","1802.36748511474","1917.47094820066","2027.46758674584","2288.80068857562","2264.75222366621","2199.6971440665","2093.64356710567","2074.39643056479","2038.38100093768","2073.20486457227","2242.87624258294","2385.6333854209","2632.62745358041","2849.03459347252","3089.23044045696","3404.20680748937","3557.4772563526","3491.40076155601","3424.08611479284","3363.89631145811","3358.51052496872","3352.85453866553","3513.85527628729","3838.89248817263","3910.1872567279","3997.12068452635","4257.48738791646","4343.17724006303","4342.12889141106","4424.43737866722","4358.46900107434","4385.17593228253","4307.22111778001","4344.15017661252","4333.36177568641","4398.76441758112","4359.71418881586","4415.98709389403","4446.79339023275","4328.02073820173","",
"Bermuda","BMU","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","27838.3930375774","28436.716583056","29006.5798401619","28640.8780165917","31041.9500043757","31740.6355233978","35659.1612543762","39616.1419860849","39686.9553481262","40290.5688347111","42055.0304719923","43819.358387283","44942.9191535041","45948.8338277272","46699.0989703916","48824.501768485","52988.7455136405","55903.5590573088","56504.0914894508","57503.2189423032","61083.4509496361","62106.1317965972","58400.2839788516","59061.1697050723","58826.9549652087","57167.1018852694","60463.9087856699","62224.8917779393","64196.2324263801","63939.8115704253","63429.2767665396","61503.6383589572","61913.7772348381","63435.4731513697","63374.766845423","65690.9641699689","66969.933143424","69624.4363363497","71810.384072276","73825.1848453623","79988.3500115683","84844.7383808264","83048.803111906","85321.2432651983","86733.3700723903","87616.3859691804","91944.8738136662","94029.6080297516","94903.19153445","89391.2111759902","88207.3275597322","86001.1711723395","81547.8552352009","79251.7816637313","","","","",
"Bolivia","BOL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1304.69876203001","1306.59062917974","1353.03319227365","1412.20202228543","1451.18601734897","1502.79134508916","1568.79940247413","1643.75497750463","1414.69863105784","1428.91347768619","1392.75207133517","1433.11540880501","1515.18999129163","1568.61847521433","1580.58476207579","1659.88110423865","1698.97372607902","1744.63977787242","1741.63539449785","1706.0752845574","1646.41122762662","1615.67773350912","1519.16984469315","1427.24335223749","1394.99615517799","1343.7758593911","1283.0906378895","1288.90471574904","1300.64203133752","1323.78298990794","1358.24108435809","1401.90835201166","1397.1799330787","1428.36572409464","1465.80404330815","1504.39678385825","1539.34488523904","1584.11720415994","1631.57491819291","1607.21008087073","1616.53917776886","1613.41081598593","1623.51879364219","1637.80850362229","1676.22795997223","1720.09901866727","1771.94687725178","1821.79549543765","1901.89980193506","1933.74010151189","1981.16070450437","2051.152291621","2122.38456393316","2231.47724076427","2317.25718610303","2392.98397316016","2457.62596155017","",
"Brazil","BRA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","3424.99708941488","3668.02448523518","3747.3862627079","3670.82629746442","3690.44868553176","3697.03901185568","3745.52252936706","3824.75431320957","4150.48526731892","4438.02772468322","4706.12639251504","5108.94562636202","5586.68382373255","6216.13081592217","6617.88358952089","6798.09671380472","7287.51909511966","7443.89864502837","7504.2960198983","7824.86435613182","8339.2691185217","7788.33354621582","7653.55956185636","7225.53835852389","7439.11081055545","7860.01557811087","8314.87892074386","8445.03699462262","8276.54252172788","8391.19229212742","7986.04587296904","7966.79646758777","7796.84183089866","8027.18938430715","8319.20902382918","8547.94115970694","8598.01495879817","8750.27405767678","8644.4208430246","8554.83443909603","8778.18814081675","8776.86371936394","8924.33352798132","8910.85562414267","9309.00819513988","9495.10493913007","9761.87640157734","10245.23081298","10658.2253077189","10540.1087666864","11224.1540829355","11559.2122714428","11671.1829427136","11912.1467557492","11866.3889224247","11322.1466804372","10826.2714348298","",
"Barbados","BRB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13830.0119081306","13244.8079643431","12446.54903487","12502.9648451095","12708.2942696018","12919.2229038363","13381.9875046244","13963.6496912725","14431.6216806745","14426.3179057437","15017.0768031104","14616.1817065074","14688.7813590316","14964.7160473718","15128.9458608363","15676.1091888706","16502.6900650941","16726.2798684695","16721.73309543","15979.6809292206","15959.0297922874","15972.7676372964","15961.701817585","15910.9348648734","15864.6197950218","15961.2001541015","16242.7699742254","",
"Brunei Darussalam","BRN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","45621.3614622116","43925.2390991564","50722.6081256912","54151.703021782","55752.538552744","66001.5809029995","59391.9511535856","46156.2248219058","46575.7780789852","45483.6311842018","44479.3539125007","42589.6832960567","40274.3388424821","39933.7551259678","39243.0170156511","37732.3751708754","37071.735304991","37162.5405979061","37838.3205639022","36904.4750646566","37043.1816690002","37703.791734616","37833.3647703949","36400.0373869634","35382.1426546445","35672.339906887","35923.4018274107","36162.9779292315","36832.2662281767","37202.3579409858","36752.047316298","36325.1207263069","37401.0531640605","36997.8072614836","35860.3887804149","34812.7146878375","35268.1011703581","36092.0969837904","35899.0373689733","34618.9729115639","33313.8327791027","32661.8570180811","31430.9625936081","",
"Bhutan","BTN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","403.657726205265","447.538419724845","451.360771779425","490.135904164346","498.703502941078","504.73654704734","545.525689227544","677.54119836928","688.179979479704","721.226419286504","789.217334156516","785.992453720061","831.063050334133","861.193921466685","915.409903076161","983.262475903491","1029.17766319167","1065.05676572225","1100.1615195901","1155.20975777048","1201.10578545411","1263.96776707338","1360.79225208936","1425.05517363399","1469.37315038902","1534.82074531128","1601.91580165284","1848.56625507606","1898.05279389076","1986.13561776648","2178.92138307967","2310.00365501278","2387.00567386534","2399.91891590403","2500.26014526865","2628.18961406612","2801.27524003561","",
